model,dataset,N,strategy,regret_kind,n_problems,regret_mean,regret_median,regret_std,regret_p25,regret_p75,regret_p90,regret_p95,regret_p99,regret_max,regret_gt_10pp,regret_gt_20pp
Qwen2.5-3B,aime2025,256,T0.4,R2,26,0.00024169087275647774,0.0,0.003268635423294304,0.0,0.0,0.0,0.0,0.011275537312030792,0.01503404974937439,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.5,R1,26,0.002791620561345973,0.0,0.0077850427066645635,0.0,0.0,0.009541667299345136,0.017149999737739563,0.030361607670783997,0.0341488104313612,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.5,R2,26,0.001104437694616186,0.0,0.00683011642653085,0.0,0.0,0.0,0.00022500001068692654,0.025686607827083208,0.0341488104313612,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.6,R1,26,0.001687182866729787,0.0,0.00450939831358988,0.0,0.0,0.006558368884725496,0.010495834038010798,0.017149999737739563,0.01899999938905239,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.6,R2,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.7,R1,26,0.004088212609601145,0.0,0.009544233305784845,0.0,3.749999905267032e-05,0.01394999018884846,0.0183499944396317,0.03659518016502261,0.04246024042367935,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.7,R2,26,0.0024010297428713576,0.0,0.00862234734912064,0.0,0.0,0.0048999786376953125,0.010299921035766602,0.03446182422339916,0.04246024042367935,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.8,R1,26,0.005903614576499632,0.0,0.013198913448583942,0.0,3.749999905267032e-05,0.024033300986047834,0.03391164541244507,0.04711970197968185,0.05105071607977152,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.8,R2,26,0.004216431709769845,0.0,0.01246201162141844,0.0,0.0,0.014846627862425521,0.029523253440856934,0.0456796835642308,0.05105071607977152,0.0,0.0
Qwen2.5-3B,aime2025,256,T0.9,R1,26,0.01834515239729976,0.0,0.05306357490982379,0.0,0.0,0.03622035789885558,0.14024761639302596,0.20510414242744446,0.21716666221618652,0.07692307692307693,0.038461538461538464
Qwen2.5-3B,aime2025,256,T0.9,R2,26,0.01665796953056997,0.0,0.05269153539736006,0.0,0.0,0.027270358201349154,0.1357975634164177,0.20354577898979187,0.21706664562225342,0.07692307692307693,0.038461538461538464
Qwen2.5-3B,aime2025,256,T1.0,R1,26,0.053819258288058336,0.0,0.185624570503354,0.0,0.0,0.03637869127851445,0.3749343504096032,0.7485241629183292,0.8375233262777328,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,256,T1.0,R2,26,0.05213207542132855,0.0,0.18502224593594294,0.0,0.0,0.02772869156615343,0.3748593379641534,0.7440491057932377,0.8315899223089218,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,256,T1.1,R1,26,0.07844695076668219,0.0,0.26705602679101187,0.0,3.749999905267032e-05,0.031462025130167603,0.7427601809613407,0.991191667271778,0.9976333333179355,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,256,T1.1,R2,26,0.0767597678999524,0.0,0.26670995752661125,0.0,0.0,0.027870358229847625,0.7383101279847324,0.9896333038341254,0.9975333167240024,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,256,T1.2,R1,26,0.07979130965549512,0.0,0.2711258936607226,0.0,0.0,0.03352035861462355,0.7638601791113615,1.0,1.0,0.07692307692307693,0.07692307692307693
Qwen2.5-3B,aime2025,256,T1.2,R2,26,0.07810412678876534,0.0,0.27076163073965565,0.0,0.0,0.027870358229847625,0.7594101261347532,0.9984416365623474,0.9998999834060669,0.07692307692307693,0.07692307692307693
