model,dataset,N,T_star,n_problems
Llama-3.2-3B,mathfull,1536,0.5,69
Llama-3.2-3B,mathfull,1536,0.6,60
Llama-3.2-3B,mathfull,1536,0.7,73
Llama-3.2-3B,mathfull,1536,0.8,71
Llama-3.2-3B,mathfull,1536,0.9,75
Llama-3.2-3B,mathfull,1536,1.0,80
Llama-3.2-3B,mathfull,1536,1.1,49
Llama-3.2-3B,mathfull,1536,1.2,14
Llama-3.2-3B,mathfull,2048,0.1,4038
Llama-3.2-3B,mathfull,2048,0.2,214
Llama-3.2-3B,mathfull,2048,0.3,120
Llama-3.2-3B,mathfull,2048,0.4,79
Llama-3.2-3B,mathfull,2048,0.5,76
Llama-3.2-3B,mathfull,2048,0.6,57
Llama-3.2-3B,mathfull,2048,0.7,65
Llama-3.2-3B,mathfull,2048,0.8,70
Llama-3.2-3B,mathfull,2048,0.9,69
Llama-3.2-3B,mathfull,2048,1.0,70
Llama-3.2-3B,mathfull,2048,1.1,45
Llama-3.2-3B,mathfull,2048,1.2,12
Phi-4-mini-instruct,aime2023,1,0.1,3
Phi-4-mini-instruct,aime2023,1,0.2,3
Phi-4-mini-instruct,aime2023,1,0.3,5
Phi-4-mini-instruct,aime2023,1,0.5,2
Phi-4-mini-instruct,aime2023,1,0.6,2
Phi-4-mini-instruct,aime2023,1,0.7,3
Phi-4-mini-instruct,aime2023,1,0.8,2
Phi-4-mini-instruct,aime2023,1,0.9,1
Phi-4-mini-instruct,aime2023,1,1.0,2
Phi-4-mini-instruct,aime2023,1,1.1,2
Phi-4-mini-instruct,aime2023,1,1.2,1
Phi-4-mini-instruct,aime2023,2,0.1,3
Phi-4-mini-instruct,aime2023,2,0.2,3
Phi-4-mini-instruct,aime2023,2,0.3,5
Phi-4-mini-instruct,aime2023,2,0.5,1
Phi-4-mini-instruct,aime2023,2,0.6,2
Phi-4-mini-instruct,aime2023,2,0.7,4
Phi-4-mini-instruct,aime2023,2,0.8,2
Phi-4-mini-instruct,aime2023,2,0.9,1
Phi-4-mini-instruct,aime2023,2,1.0,3
Phi-4-mini-instruct,aime2023,2,1.1,1
Phi-4-mini-instruct,aime2023,2,1.2,1
Phi-4-mini-instruct,aime2023,4,0.1,3
Phi-4-mini-instruct,aime2023,4,0.2,3
Phi-4-mini-instruct,aime2023,4,0.3,5
Phi-4-mini-instruct,aime2023,4,0.5,1
Phi-4-mini-instruct,aime2023,4,0.6,2
Phi-4-mini-instruct,aime2023,4,0.7,3
Phi-4-mini-instruct,aime2023,4,0.8,3
Phi-4-mini-instruct,aime2023,4,0.9,2
Phi-4-mini-instruct,aime2023,4,1.0,2
Phi-4-mini-instruct,aime2023,4,1.1,1
Phi-4-mini-instruct,aime2023,4,1.2,1
Phi-4-mini-instruct,aime2023,8,0.1,4
Phi-4-mini-instruct,aime2023,8,0.2,3
Phi-4-mini-instruct,aime2023,8,0.3,4
Phi-4-mini-instruct,aime2023,8,0.4,1
Phi-4-mini-instruct,aime2023,8,0.5,2
Phi-4-mini-instruct,aime2023,8,0.6,3
Phi-4-mini-instruct,aime2023,8,0.7,2
Phi-4-mini-instruct,aime2023,8,0.8,2
Phi-4-mini-instruct,aime2023,8,0.9,1
Phi-4-mini-instruct,aime2023,8,1.0,2
Phi-4-mini-instruct,aime2023,8,1.1,1
Phi-4-mini-instruct,aime2023,8,1.2,1
Phi-4-mini-instruct,aime2023,16,0.1,15
Phi-4-mini-instruct,aime2023,16,0.2,1
Phi-4-mini-instruct,aime2023,16,0.3,2
Phi-4-mini-instruct,aime2023,16,0.6,2
Phi-4-mini-instruct,aime2023,16,0.7,2
Phi-4-mini-instruct,aime2023,16,0.8,1
Phi-4-mini-instruct,aime2023,16,0.9,1
Phi-4-mini-instruct,aime2023,16,1.0,2
Phi-4-mini-instruct,aime2023,32,0.1,19
Phi-4-mini-instruct,aime2023,32,0.2,3
Phi-4-mini-instruct,aime2023,32,0.4,1
Phi-4-mini-instruct,aime2023,32,0.5,1
Phi-4-mini-instruct,aime2023,32,0.7,1
Phi-4-mini-instruct,aime2023,32,1.0,1
Phi-4-mini-instruct,aime2023,64,0.1,24
Phi-4-mini-instruct,aime2023,64,0.2,1
Phi-4-mini-instruct,aime2023,64,0.7,1
Phi-4-mini-instruct,aime2023,128,0.1,24
Phi-4-mini-instruct,aime2023,128,0.2,1
Phi-4-mini-instruct,aime2023,128,0.7,1
Phi-4-mini-instruct,aime2023,256,0.1,24
Phi-4-mini-instruct,aime2023,256,0.2,1
Phi-4-mini-instruct,aime2023,256,0.7,1
Phi-4-mini-instruct,aime2023,512,0.1,24
Phi-4-mini-instruct,aime2023,512,0.2,1
Phi-4-mini-instruct,aime2023,512,0.7,1
Phi-4-mini-instruct,aime2023,1024,0.1,24
Phi-4-mini-instruct,aime2023,1024,0.2,1
Phi-4-mini-instruct,aime2023,1024,0.7,1
Phi-4-mini-instruct,aime2023,1536,0.1,24
Phi-4-mini-instruct,aime2023,1536,0.2,1
Phi-4-mini-instruct,aime2023,1536,0.7,1
Phi-4-mini-instruct,aime2023,2048,0.1,24
Phi-4-mini-instruct,aime2023,2048,0.2,1
Phi-4-mini-instruct,aime2023,2048,0.7,1
Phi-4-mini-instruct,aime2024,1,0.1,7
Phi-4-mini-instruct,aime2024,1,0.2,3
Phi-4-mini-instruct,aime2024,1,0.3,1
Phi-4-mini-instruct,aime2024,1,0.4,1
Phi-4-mini-instruct,aime2024,1,0.5,2
Phi-4-mini-instruct,aime2024,1,0.6,2
Phi-4-mini-instruct,aime2024,1,0.7,1
Phi-4-mini-instruct,aime2024,1,0.8,1
Phi-4-mini-instruct,aime2024,1,0.9,3
Phi-4-mini-instruct,aime2024,1,1.0,1
Phi-4-mini-instruct,aime2024,1,1.1,3
Phi-4-mini-instruct,aime2024,1,1.2,1
Phi-4-mini-instruct,aime2024,2,0.1,7
Phi-4-mini-instruct,aime2024,2,0.2,1
Phi-4-mini-instruct,aime2024,2,0.3,3
Phi-4-mini-instruct,aime2024,2,0.5,2
Phi-4-mini-instruct,aime2024,2,0.6,2
Phi-4-mini-instruct,aime2024,2,0.7,2
Phi-4-mini-instruct,aime2024,2,0.9,4
Phi-4-mini-instruct,aime2024,2,1.0,2
Phi-4-mini-instruct,aime2024,2,1.1,2
Phi-4-mini-instruct,aime2024,2,1.2,1
Phi-4-mini-instruct,aime2024,4,0.1,8
Phi-4-mini-instruct,aime2024,4,0.2,2
Phi-4-mini-instruct,aime2024,4,0.3,1
Phi-4-mini-instruct,aime2024,4,0.5,1
Phi-4-mini-instruct,aime2024,4,0.6,3
Phi-4-mini-instruct,aime2024,4,0.8,2
Phi-4-mini-instruct,aime2024,4,0.9,3
Phi-4-mini-instruct,aime2024,4,1.0,3
Phi-4-mini-instruct,aime2024,4,1.1,2
Phi-4-mini-instruct,aime2024,4,1.2,1
Phi-4-mini-instruct,aime2024,8,0.1,10
Phi-4-mini-instruct,aime2024,8,0.2,1
Phi-4-mini-instruct,aime2024,8,0.3,3
Phi-4-mini-instruct,aime2024,8,0.5,1
Phi-4-mini-instruct,aime2024,8,0.6,3
Phi-4-mini-instruct,aime2024,8,0.7,2
Phi-4-mini-instruct,aime2024,8,0.8,1
Phi-4-mini-instruct,aime2024,8,0.9,2
Phi-4-mini-instruct,aime2024,8,1.1,3
Phi-4-mini-instruct,aime2024,16,0.1,14
Phi-4-mini-instruct,aime2024,16,0.2,2
Phi-4-mini-instruct,aime2024,16,0.3,5
Phi-4-mini-instruct,aime2024,16,0.5,1
Phi-4-mini-instruct,aime2024,16,0.6,1
Phi-4-mini-instruct,aime2024,16,0.8,1
Phi-4-mini-instruct,aime2024,16,0.9,1
Phi-4-mini-instruct,aime2024,16,1.1,1
Phi-4-mini-instruct,aime2024,32,0.1,20
Phi-4-mini-instruct,aime2024,32,0.2,2
Phi-4-mini-instruct,aime2024,32,0.5,2
Phi-4-mini-instruct,aime2024,32,0.6,1
Phi-4-mini-instruct,aime2024,32,0.9,1
Phi-4-mini-instruct,aime2024,64,0.1,24
Phi-4-mini-instruct,aime2024,64,0.2,1
Phi-4-mini-instruct,aime2024,64,0.8,1
Phi-4-mini-instruct,aime2024,128,0.1,26
Phi-4-mini-instruct,aime2024,256,0.1,26
Phi-4-mini-instruct,aime2024,512,0.1,26
Phi-4-mini-instruct,aime2024,1024,0.1,26
Phi-4-mini-instruct,aime2024,1536,0.1,26
Phi-4-mini-instruct,aime2024,2048,0.1,26
Phi-4-mini-instruct,aime2025,1,0.1,2
Phi-4-mini-instruct,aime2025,1,0.2,4
Phi-4-mini-instruct,aime2025,1,0.3,3
Phi-4-mini-instruct,aime2025,1,0.4,1
Phi-4-mini-instruct,aime2025,1,0.5,3
Phi-4-mini-instruct,aime2025,1,0.6,3
Phi-4-mini-instruct,aime2025,1,0.7,2
Phi-4-mini-instruct,aime2025,1,0.8,1
Phi-4-mini-instruct,aime2025,1,0.9,2
Phi-4-mini-instruct,aime2025,1,1.0,1
Phi-4-mini-instruct,aime2025,1,1.1,3
Phi-4-mini-instruct,aime2025,1,1.2,1
Phi-4-mini-instruct,aime2025,2,0.1,5
Phi-4-mini-instruct,aime2025,2,0.2,4
Phi-4-mini-instruct,aime2025,2,0.3,2
Phi-4-mini-instruct,aime2025,2,0.5,4
Phi-4-mini-instruct,aime2025,2,0.6,2
Phi-4-mini-instruct,aime2025,2,0.7,2
Phi-4-mini-instruct,aime2025,2,0.8,1
Phi-4-mini-instruct,aime2025,2,1.0,3
Phi-4-mini-instruct,aime2025,2,1.1,2
Phi-4-mini-instruct,aime2025,2,1.2,1
Phi-4-mini-instruct,aime2025,4,0.1,4
Phi-4-mini-instruct,aime2025,4,0.2,5
