model,dataset,stratum,level_n_problems,N,T,mean_acc,std_acc,source,dataset_family
Llama-3.2-3B,gsm8kfull,L2,62,16,0.4,0.884,0.014,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,0.5,0.882,0.026,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,0.6,0.895,0.022,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,0.7,0.892,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,0.8,0.879,0.036,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,0.9,0.898,0.015,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,1.0,0.849,0.026,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,1.1,0.755,0.024,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,16,1.2,0.575,0.02,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.1,0.997,0.006,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.2,0.949,0.011,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.3,0.911,0.012,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.4,0.901,0.025,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.5,0.895,0.022,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.6,0.909,0.008,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.7,0.909,0.018,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.8,0.909,0.015,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,0.9,0.909,0.015,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,1.0,0.89,0.031,markdown,gsm8kfull
Llama-3.2-3B,gsm8kfull,L2,62,32,1.1,0.766,0.024,markdown,gsm8kfull
