model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,64,0.9950548772968308,0.0001717092158792,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,128,0.9946355900850906,9.12326695942028e-05,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,256,0.994274879763226,0.0001146276980009,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,512,0.994062153163152,7.393403215583152e-05,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,1024,0.9937245652978172,0.0001255274700504,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,1536,0.9936528856825748,6.950596587054616e-05,901
Llama-3.2-3B,gsm8kfull,consensus_vote,L1,2048,0.9936783203847576,5.166200534136091e-05,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,1,0.9843923418423982,0.0004937865422091,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,2,0.9740612282648904,0.000520554236458,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,4,0.98819136145024,0.0004200631928633,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,8,0.9917830496978662,0.0001933660502319,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,16,0.995021735109138,9.164197030142794e-05,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,32,0.995135035146134,0.0001221075890829,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,64,0.995655290418054,5.508776656522825e-05,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,128,0.9957315945246022,0.0001931687162427,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,256,0.9957177210506843,0.0001182640755876,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,512,0.9957894006659268,3.799407307889279e-05,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,1024,0.9957362190159084,0.0001413915056336,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,1536,0.9957038475767664,0.0001261393053735,901
Llama-3.2-3B,gsm8kfull,equal_mix,L1,2048,0.9957061598224196,3.0076974734582136e-05,901
Llama-3.2-3B,gsm8kfull,random_T,L1,1,0.8973131731226269,0.0012511896881099,901
Llama-3.2-3B,gsm8kfull,random_T,L1,2,0.8997132835952448,0.0006444620424821,901
Llama-3.2-3B,gsm8kfull,random_T,L1,4,0.9566773821338268,0.0003439156003524,901
Llama-3.2-3B,gsm8kfull,random_T,L1,8,0.975611414452322,0.00060384383434,901
Llama-3.2-3B,gsm8kfull,random_T,L1,16,0.9832496310660392,0.00068366023147,901
Llama-3.2-3B,gsm8kfull,random_T,L1,32,0.9862009039864666,0.000312799616716,901
Llama-3.2-3B,gsm8kfull,random_T,L1,64,0.9868907235460124,0.0006878278639531,901
Llama-3.2-3B,gsm8kfull,random_T,L1,128,0.987312708281551,0.0003864455482454,901
Llama-3.2-3B,gsm8kfull,random_T,L1,256,0.987689604188198,0.0006110421139011,901
Llama-3.2-3B,gsm8kfull,random_T,L1,512,0.9872826489940688,0.0005812085477476,901
Llama-3.2-3B,gsm8kfull,random_T,L1,1024,0.9876849796737384,0.0002366908078696,901
Llama-3.2-3B,gsm8kfull,random_T,L1,1536,0.987772845011239,0.0003755246858991,901
Llama-3.2-3B,gsm8kfull,random_T,L1,2048,0.9876433592586,0.0004267681948215,901
Llama-3.2-3B,gsm8kfull,T0.1,L2,1,0.7227150528661666,0.0056777105510051,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,2,0.7194892488500124,0.0066583153627053,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,4,0.8614639345035758,0.0073617843020091,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,8,0.9408770185965364,0.003765465570217,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,16,0.9815860232037884,0.0026584361584436,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,32,0.995295700046324,0.0008030848089447,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,64,0.9994287636651789,0.0004670578024456,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,128,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,256,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,512,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,1024,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,1536,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.1,L2,2048,1.0,0.0,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,1,0.6561827946414229,0.0141799488864538,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,2,0.6678091402976745,0.004494956952769,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,4,0.8021841413711989,0.0030778536766868,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,8,0.8818988436332313,0.004286088375317,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,16,0.9288530470703238,0.0046179991239729,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,32,0.9499663989790664,0.0024241108687744,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,64,0.9577956988165776,0.0025299540547687,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,128,0.9598790326566304,0.0017622403026246,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,256,0.9640793011583868,0.0019481135211934,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,512,0.9690524195471116,0.0019116049009275,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,1024,0.9702956988926856,0.0018638744221879,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,1536,0.971068548218858,0.0015341141031086,62
Llama-3.2-3B,gsm8kfull,T0.2,L2,2048,0.9718750002243186,0.0024684204989918,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,1,0.6407258054742249,0.0069373589522171,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,2,0.6457997313750687,0.0064910779235539,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,4,0.7766073035296573,0.0024633309585266,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,8,0.8509720635590373,0.003873594201796,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,16,0.8942204311850571,0.0038304690144258,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,32,0.9044690878601164,0.0059308701774361,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,64,0.9097782262195384,0.0029706276367117,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,128,0.912567204102293,0.0030487353919528,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,256,0.9150537635369966,0.0021925498263,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,512,0.919321236350844,0.0011853509299005,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,1024,0.9235215054083896,0.0018725774088132,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,1536,0.9248655916702364,0.0014179949513399,62
Llama-3.2-3B,gsm8kfull,T0.3,L2,2048,0.9260752690575456,0.002070503316195,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,1,0.6333333321957179,0.0090404155003941,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,2,0.6367943546864935,0.006076213374769,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,4,0.7709061396458456,0.0045643760478156,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,8,0.8457479726483105,0.0066575745656986,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,16,0.8836525552305243,0.004953680067684,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,32,0.8997423854125763,0.0030712922783572,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,64,0.8992943552633128,0.0037669796530961,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,128,0.9038978495149405,0.002170189077999,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,256,0.9057795702059184,0.0017972593547655,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,512,0.9085349461804796,0.0014179945230492,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,1024,0.9108198924210444,0.0019657688989296,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,1536,0.9121303763841428,0.0011575924200075,62
Llama-3.2-3B,gsm8kfull,T0.4,L2,2048,0.912298387131824,0.0013494516201513,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,1,0.6229166670311843,0.0098089731282514,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,2,0.6280577957269645,0.0094447982614578,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,4,0.7631272422249921,0.0053586171908161,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,8,0.8413126461247923,0.0067422143407442,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,16,0.8826097691962395,0.0063276378271654,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,32,0.9006384415652163,0.0041374609767599,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,64,0.9068548387337116,0.0027790424554545,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,128,0.9104166669315428,0.0029039722656499,62
Llama-3.2-3B,gsm8kfull,T0.5,L2,256,0.9161962364469804,0.0016706723121949,62
