model,dataset,stratum,N,acc_t1p0_mean,acc_t1p0_std,acc_t0p1_mean,acc_t0p1_std,acc_random_t_mean
Phi-4-mini-instruct,math500,Lr,1,0.0299019610107529,0.0049797744352422,0.0,0.0,0.0166666668237132
Phi-4-mini-instruct,math500,Lr,2,0.0362745099700987,0.0040184119959807,0.0,0.0,0.0227941179228033
Phi-4-mini-instruct,math500,Lr,4,0.0362745104403253,0.0034234858984109,0.0,0.0,0.0207924843656227
Phi-4-mini-instruct,math500,Lr,8,0.0426715684383559,0.0059663671783564,0.0,0.0,0.0273021709324572
Phi-4-mini-instruct,math500,Lr,16,0.0515607498567916,0.0031180895277979,0.0,0.0,0.0325272334693912
Phi-4-mini-instruct,math500,Lr,32,0.058006536562507,0.0011142304322514,0.0,0.0,0.0382761440568548
Phi-4-mini-instruct,math500,Lr,64,0.0589052289998268,0.0009513673043963,0.0,0.0,0.03823529353694
Phi-4-mini-instruct,math500,Lr,128,0.0588235294117647,7.601177430610146e-18,0.0,0.0,0.0408088237631554
Phi-4-mini-instruct,math500,Lr,256,0.0588235294117647,7.601177430610146e-18,0.0,0.0,0.040073529178021
Phi-4-mini-instruct,math500,Lr,512,0.0588235294117647,7.601177430610146e-18,0.0,0.0,0.0411764704713634
Phi-4-mini-instruct,math500,Lr,1024,0.0588235294117647,7.601177430610146e-18,0.0,0.0,0.0374999992987688
Phi-4-mini-instruct,math500,Lr,1536,0.0588235294117647,7.601177430610146e-18,0.0,0.0,0.0387254900792065
Phi-4-mini-instruct,math500,Lr,2048,0.0588235294117647,7.601177430610146e-18,0.0,0.0,0.034313725490196
Phi-4-mini-instruct,math500,overall,1,0.4539642377106746,0.0067729826360792,0.5543269237720844,0.0060077741757067,0.4983721327830945
Phi-4-mini-instruct,math500,overall,2,0.4664178474859036,0.0042458494046841,0.5577935229222745,0.0041913364398476,0.5052631584771591
Phi-4-mini-instruct,math500,overall,4,0.5449294344458903,0.0051705547170623,0.5931335761874484,0.0038584682161117,0.5683219498478996
