model,dataset,baseline,stratum,N,mean,std6,n_pids
Llama-3.2-3B,gsm8kfull,T0.4,L4,512,0.762980769503002,0.0026695467379561,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,1024,0.7627243591520266,0.0021669134214044,65
Llama-3.2-3B,gsm8kfull,T0.4,L4,1536,0.7588782055422856,0.0010421347640233,65
Llama-3.2-3B,gsm8kfull,T0.4,L5,1,0.1892628209228753,0.0023623445961017,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,2,0.1899496337583104,0.0041411284170883,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,4,0.1958028095166263,0.0035163427332168,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,8,0.2032557133128508,0.0046205382394859,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,16,0.2095422642906759,0.0026174197728779,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,32,0.212337263959593,0.0037921269132281,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,64,0.2126850580899795,0.0037834715316474,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,128,0.2117979248683735,0.0022284787745127,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,256,0.2112904460588981,0.0008768542997173,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,512,0.2104700857051904,0.0013493477648323,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,1024,0.2113896521258649,0.0006763164022852,182
Llama-3.2-3B,gsm8kfull,T0.4,L5,1536,0.2122481687407217,0.0012654274055321,182
Llama-3.2-3B,gsm8kfull,T0.4,overall,1,0.774870828269854,0.0033738360867106,1258
Llama-3.2-3B,gsm8kfull,T0.4,overall,2,0.7756458672427854,0.0028325672235019,1258
Llama-3.2-3B,gsm8kfull,T0.4,overall,4,0.82056919141964,0.0033463514675246,1258
Llama-3.2-3B,gsm8kfull,T0.4,overall,8,0.8415983154733147,0.0030159005272695,1258
Llama-3.2-3B,gsm8kfull,T0.4,overall,16,0.8519013075798499,0.00234048313795,1258
Llama-3.2-3B,gsm8kfull,T0.4,overall,32,0.8566291019077169,0.0022616368949543,1258
Llama-3.2-3B,gsm8kfull,T0.4,overall,64,0.8581636968533577,0.0021473309059283,1258
Llama-3.2-3B,gsm8kfull,T0.4,overall,128,0.8594445549608043,0.0015227958560446,1258
